smiles	interact_with_adenosine
CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1	0
CC1=C(CCNCC2=CC=C(\C=C\C(=O)NO)C=C2)C2=CC=CC=C2N1	0
CC1=C(CS(=O)C2=NC3=C(N2)C=CC=C3)N=CC=C1OCC(F)(F)F	0
CC1=C(N(CC2=CC=C(OCCN3CCCCCC3)C=C2)C2=C1C=C(O)C=C2)C1=CC=C(O)C=C1	0
CC1=C(N(N=C1C(=O)NN1CCCCC1)C1=CC=C(Cl)C=C1Cl)C1=CC=C(Cl)C=C1	0
CC1=C(OC2=C(C=CC=C2C1=O)C(=O)OCCN1CCCCC1)C1=CC=CC=C1	0
CC1=C(OCC(F)(F)F)C=CN=C1C[S@@](=O)C1=NC2=C(N1)C=CC=C2	0
CC1=C(SC(NC(=O)N2CCC[C@H]2C(N)=O)=N1)C1=CC(=NC=C1)C(C)(C)C(F)(F)F	0
CC1=C(SC=C1)C(=CCCN1CCC[C@H](C1)C(O)=O)C1=C(C)C=CS1	0
CC1=C2C=C(OC3=CC=CC=C3)C=CC2=C(O)C(=N1)C(=O)NCC(O)=O	0
CC1=CC(=C(O)C(C)=C1CC1=NCCN1)C(C)(C)C	0
CC1=CC(=CC(C)=C1CC1=NCCN1)C(C)(C)C	0
CC1=CC(=NO1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1	0
CC1=CC(=NO1)C(=O)NNCC1=CC=CC=C1	0
CC1=CC(CC(O)=O)=C(NC2=C(Cl)C=CC=C2F)C=C1	0
CC1=CC(CN2CCC(CC2)=C2C3=CC=C(Cl)C=C3CCC3=C2N=CC=C3)=CN=C1	0
CC1=CC(NC2=NC=NC3=C2C=C(NC2=NC(C)(C)CO2)C=C3)=CC=C1OC1=CC2=NC=NN2C=C1	0
CC1=CC(OCC(O)CNC(C)(C)C)=C(Cl)C=C1	0
CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1	0
CC1=CC2=C(C=C1)N1CCNC3CCCC2=C13	0
CC1=CC2=C(N1)C=CC=C2OCC(CNC(C)(C)C)OC(=O)C1=CC=CC=C1	0
CC1=CC=C(C(=O)OCC2=CC=C(C=C2)[C@@H](CN)C(=O)NC2=CC3=C(C=C2)C=NC=C3)C(C)=C1	0
CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC(\C=C\C(O)=O)=N1	0
CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1	0
CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O	0
CC1=CC=C(C=C1)C(=O)OC1=C(OC(=O)C2=CC=C(C)C=C2)C=C(C=C1)C(O)CNC(C)(C)C	0
CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F	1
CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F	1
CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F	1
